name_other,cap_unit,cap_includes_presale,token_type,total_number_of_tokens,token_standard,additional_token_emissions,Crowdsale is auction,Has a presale,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_actual,Total amount raised (USDm),BTC_ret_ico_period,Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,Team tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",presale_transparent,industry.1
Finom,tokens,1,Security,113300000.0,ERC-20,0,0,1,1,67.0,1,1,5,0,1,0.0,0,1,0,1.0,0.0,0,1,No,No,1,1,0,high,joint-stock corporation,Switzerland,Alte Haslenstrasse 5  	9053 Teufen AR,0,1,0,0,0,1,1,0,0,0,0,Finance,unknown,11/15/2017,12/30/2017,41.0,1,1,0,tokens,tokens,2.0,9.0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,46,46.0,0,Finance
FinShi,USD,1,Security,21420275.0,ERC-20,0,0,1,1,36.0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0,1,CapInvest21,0,0,1,1,high,unknown,Singapore,"Suntec Tower Temasek, Boulevard, Singapore 038988",0,0,0,0,0,1,1,1,0,0,0,Finance,unknown,9/6/2017,10/6/2017,23.0,0,1,1,USD,USD,1.0,5.0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,31,31.0,0,Finance
FintruX Network (FTX),tokens;ETH,1,Utility-token,100000000.0,ERC-20,0,1,1,1,47.0,1,1,1,0,1,1.0,0,1,0,0.0,0.0,1,0,No,No,0,1,0,unknown,joint-stock corporation,Singapore,"FintruX  Pte. Ltd, 141  Cecil Street #10 01 Singapore 069541",0,0,0,0,0,1,1,1,0,0,1,Finance,0xd559f20296ff4895da39b5bd9add54b442596a61,1/7/2018,2/28/2018,19.0,0,1,1,tokens,ETH,0.0,9.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,53,53.0,1,Finance
FirstBlood,USD,1,Utility-token,85558364.0,ERC-20,0,0,0,1,26.0,0,0,1,0,1,1.0,0,1,0,0.0,0.0,1,0,No,No,0,0,0,neutral,joint-stock corporation,United States,unknown,0,0,0,0,0,0,0,0,1,0,0,Video Games & VR,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,9/26/2016,9/26/2016,6.0,0,1,0,USD,USD,0.0,41.0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,29.0,1,Video Games & VR
Flixxo,ETH,1,Utility-token,763337097.0,ERC-20,0,0,1,1,26.0,1,1,2,0,1,1.0,0,1,0,1.0,0.0,1,0,No,No,0,0,0,low,unknown,Gibraltar,"Flixxo - Suite 23 Portland House Glacis Road, Gibraltar ",0,0,0,0,0,0,0,0,1,1,1,Content Management,0xf04a8ac553fcedb5ba99a64799155826c136b0be,10/24/2017,11/23/2017,5.0,0,1,1,ETH,ETH,0.0,23.0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,31,31.0,1,Content Management
FundYourselfNow,USD,1,Security,12500000.0,ERC-20,0,0,1,1,13.0,0,0,0,0,1,1.0,0,1,0,0.0,0.0,0,1,No,No,0,0,1,high,unknown,Singapore,unknown,0,0,0,0,0,0,0,0,0,0,0,Finance,0x88fcfbc22c6d3dbaa25af478c578978339bde77a,6/13/2017,7/31/2017,2.0,0,1,1,USD,USD,2.0,17.0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,49,49.0,1,Finance
Fusion,ETH,0,New Blockchain,81920000.0,ERC-20,0,0,1,1,60.0,1,0,0,0,0,1.0,0,0,0,0.0,0.0,0,1,Eastmore Group; Alpview Capital,No,0,1,1,high,joint-stock corporation,Singapore,100 Tras Street #16-01 100 AM Singapore 079027,0,0,0,0,0,0,1,1,0,0,0,Finance,0xd0352a019e9ab9d757776f532377aaebd36fd541,2/1/2018,2/10/2018,43.0,0,1,0,ETH,ETH,2.0,5.0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,10,11.0,0,Finance
Gameflip,ETH,1,Utility-token,100000000.0,ERC-20,0,1,0,0,42.0,1,1,3,1,1,1.0,0,1,0,1.0,0.0,1,0,Bullpen Capital; GoAhead Ventures; Social Starts,No,0,1,1,neutral,joint-stock corporation,United States,"152 North Third Street., Suite 200, San Jose, CA 95112",0,0,0,0,0,0,1,0,0,1,0,Video Games & VR,0x3a1bda28adb5b0a812a7cf10a1950c920f79bcd3,10/13/2017,1/29/2018,0.0,1,1,1,ETH,ETH,1.0,41.0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,109,109.0,1,Video Games & VR
Gatcoin,USD,1,Utility-token,1000000000.0,ERC-20,0,1,1,1,38.0,0,0,1,0,0,1.0,0,1,0,1.0,0.0,0,1,No,No,0,1,0,high,joint-stock corporation,Hong Kong,"5 Tai Mong Tsai Rd, Sai Kung, Hong Kong",0,0,0,0,0,0,0,1,0,0,0,Commerce & Advertising,0x687174f8c49ceb7729d925c3a961507ea4ac7b28,1/13/2018,1/14/2018,16.0,0,1,0,USD,USD,0.0,5.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,2,16.0,1,Commerce & Advertising
Genaro Network,ETH,0,Utility-token,700000000.0,ERC-20,0,0,1,1,59.0,1,1,1,0,1,1.0,1,1,0,1.0,0.0,0,1,No,BlockAsset Fund;Collinstar Capital; Node Capital; Star Capital; Aware Capital; LinkVC; ChainPE; Tally Capital,0,0,0,high,foundation,Singapore,8 BURN ROAD #15-13 TRIVEX SINGAPORE 369977,0,0,0,0,0,1,1,1,0,0,0,Blockchain Infrastructure,0x6ec8a24cabdc339a06a172f8223ea557055adaa5,11/17/2017,11/30/2017,30.0,0,1,0,ETH,ETH,0.0,21.0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,14,23.0,0,Blockchain Infrastructure
