token_type,address,Years since foundation,Simple agreement for future tokens (SAFT),portfolio_converted_into_fiat,Crowdsale max. discount (%),US_qualified_only,token_standard,issued_on_other_platf,Use of proceeds mentioned,Investors from other (non-US) jurisdictions excluded,Is a security,Smart contract code available,ico_end_date_actual,price_crowdsale,Decentralised platform,Total amount raised (USDm),Issuer has customers for product,Experienced team,Team tokens locked up,"Length of crowdsale (calendar days, actual)",hard_cap_unit,Fundraiser has maximum ('hard cap'),ico_start_date,vc_support_blockchain_specialist,Legal advisor disclosed,Registered in offshore financial center,Funding milestones,Celebrity endorsement,Investors have governance rights,Qualified investors only,additional_token_emissions,Legal entity is foundation,"Length of crowdsale (calendar days, planned)",soft_cap_unit,switzerland,Unsold tokens kept by issuer,Is currency or general purpose blockchain,name_other,industry.1,Is a utility token,Has a presale,Crowdsale is auction,Financial advisor disclosed,Has VC backing,Postal address known,advisor_quality,registration_country,BTC_ret_ico_period,US retail investors excluded,legal_structure,Business model available,High quality advisory team,is_ethereum,air_drop_after_ICO ,Product can be tried out,Whitepaper page count,Independent custodian for ICO funds,ethereum_contract_address,cap_unit,token_is_cryptocurrency,Legal entity is corporation,Development road map available,vc_support_general,Team member with business background,has_generalist_vc,cap_includes_presale,token_is_new_blockchain,Legal entity is LLC,presale_transparent,total_number_of_tokens,Team business background missing,Product or prototype developed,Token share team (ex ante),ico_end_date_planned,soft_cap,Is cryptographic token,ico_successful,has_specialist_vc,Token share producers/miners (ex ante),Use of proceeds disclosed in detail,Legal form and jurisdiction known,Team experience missing,Project code available,industry,KYC/AML procedure,Fundraiser has minimum ('soft cap'),Unsold tokens 'burnt' or proportional allocation,Token supply is fixed,Unknown or low quality advisors
New Blockchain,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8, 11415",1,0,0,28.571428298950195,1,ERC-20,1,1,0,0,1.0,2017-12-06,0.08571428805589676,1,14.0,1,1,1,31,USD,1,2017-11-06,No,0,0,0,0,1,0,0,0,31.0,USD,0,0,1,Cashaa,Finance,0,1,0,0,0,1,high,Estonia,0.7105086445808411,1,joint-stock corporation,1,1,1,0,1,33.0,0,0xe8780b48bdb05f928697a5e8155f672ed91462f7,USD,0,1,1,No,1,0,1,1,0,0,1000000000.0,0,1,0.49,2017-12-06,2500000.0,1,1.0,0,0.0,0,1,0,1,Finance,1,1,1,1,0
unknown,unknown,2,0,0,0.0,0,ERC-20,1,0,0,0,1.0,2017-10-02,1.4874000549316406,1,35.63304138183594,0,0,0,14,ETH,1,2017-09-19,No,0,0,0,1,0,0,0,0,17.0,ETH,0,1,0,Centra,Payments,0,1,0,0,0,0,low,United States,0.11636177450418472,0,joint-stock corporation,0,0,1,0,0,18.0,0,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,ETH,0,1,1,No,0,0,1,0,0,1,99999999.5,0,0,0.3200000000000001,2017-10-05,0.0,1,1.0,0,0.0,0,1,0,0,Payments,0,0,0,1,1
Utility-token,"50 California Street, Suite 1500
San Francisco, CA, 94111",3,0,0,27.5,0,ERC-223,1,0,0,0,0.0,2017-09-19,0.1682172417640686,1,32.0,0,0,0,1,ETH,1,2017-09-19,No,0,0,0,0,0,0,0,0,31.0,ETH,0,1,0,ChainLink,Blockchain Infrastructure,1,1,0,0,0,1,high,United States,0.0,0,joint-stock corporation,0,1,1,0,0,38.0,0,0x514910771af9ca656af840dff83e8264ecf986ca,ETH,0,1,0,No,0,0,1,0,0,0,1000000000.0,0,1,0.3,2017-10-19,0.0,1,1.0,0,0.35,0,1,0,1,Blockchain Infrastructure,0,0,0,1,0
Cryptocurrency,"Harju maakond, Tallinn, Kesklinna linnaosa,   Viru väljak 2, 10111",1,0,1,16.66666603088379,0,ERC-20,1,1,1,0,1.0,2017-10-16,0.6591212153434753,1,17.045635223388672,0,1,0,31,ETH,1,2017-09-16,No,0,0,0,0,0,0,0,0,31.0,ETH,0,1,1,Change,Finance,0,1,0,0,0,1,high,Estonia,0.45708027482032776,1,joint-stock corporation,0,1,1,0,1,12.0,1,0x7d4b8cce0591c9044a22ee543533b72e976e36c3,ETH,1,1,1,No,0,0,1,0,0,1,79184115.8156427,0,1,0.6,2017-10-16,0.0,1,1.0,0,0.0,0,1,0,0,Finance,1,0,0,1,0
Security,unknown,0,0,0,0.0,0,ERC-20,1,0,0,1,1.0,2017-02-14,10.045499801635742,0,5.400000095367432,0,1,0,64,BTC,0,2016-12-13,No,0,0,0,0,0,0,0,0,64.0,BTC,0,0,0,Chronobank,Marketplaces,0,0,0,0,0,0,low,Australia,0.25228333473205566,0,joint-stock corporation,1,0,1,0,0,9.0,0,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53,BTC,0,1,0,No,1,0,1,0,0,1,710112.8108,0,0,0.12,2017-02-14,502275.0,1,1.0,0,0.0,0,1,0,1,Marketplaces,0,1,1,1,1
Utility-token,unknown,2,0,0,0.0,0,ERC-20,1,1,1,0,1.0,2017-10-12,0.009999999776482582,1,16.90089225769043,1,0,0,33,USD,1,2017-09-10,Bitfin Capital; Token Fund,1,1,0,0,0,0,0,0,33.0,USD,0,1,0,Cindicator,Finance,1,0,0,0,1,0,high,Gibraltar,0.27848196029663086,1,joint-stock corporation,0,1,1,0,1,37.0,0,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,USD,0,1,1,Starta Accelerator,1,1,1,0,0,1,2000000004.0,0,1,0.25,2017-10-12,0.0,1,1.0,1,0.0,0,1,0,1,Finance,1,0,0,1,0
Utility-token," Civic Technologies, Inc., 540 Bryant Street, Suite 200, Palo Alto, CA 94301",2,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2017-06-28,0.10000000149011612,1,33.0,0,1,0,8,USD,1,2017-06-21,Blockchain Capital; Pantera Capital; Digital Currency Group,0,0,0,0,0,0,0,0,2.0,USD,0,1,0,Civic,Identity & Reputation,1,1,0,0,1,1,high,United States,-0.043438587337732315,0,joint-stock corporation,0,1,1,0,1,18.0,0,0x41e5560054824ea6b0732e656e3ad64e20e94e45,USD,0,1,1,Propel Venture Partners,1,1,1,0,0,1,1000000000.0,0,1,0.67,2017-06-22,0.0,1,1.0,1,0.0,0,1,0,1,Identity & Reputation,1,0,0,1,0
Utility-token,unknown,0,0,0,75.0,0,ERC-223,1,1,1,0,0.0,2017-12-17,6.25,1,2.5,0,0,1,33,USD,1,2017-11-15,No,0,1,0,0,0,0,1,0,33.0,USD,0,1,0,Clout,Media,1,1,0,0,0,0,low,Gibraltar,0.9618213176727295,1,joint-stock corporation,1,0,1,0,0,41.0,0,0x5ba49fcf7c9dce67d6a9fc92cc51c8e77cba5b7a,USD,0,1,1,No,0,0,0,0,0,1,100000000.0,0,1,0.875,2017-12-17,7500000.0,1,1.0,0,0.0,0,1,0,1,Media,1,1,0,0,1
Security," BEING Inc., The Grand Pavilion Commercial Centre, Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208 Cayman Islands.",0,0,0,28.571428298950195,0,ERC-20,1,1,1,1,0.0,2017-10-22,0.05527694895863533,0,13.530351638793945,0,0,1,40,tokens,1,2017-09-13,No,0,1,0,1,0,0,0,0,40.0,tokens,0,1,0,Cobinhood,Trading & Exchanges,0,1,0,1,1,1,neutral,Cayman Islands,0.4366593658924103,1,joint-stock corporation,1,0,1,0,0,18.0,0,0xb2f7eb1f2c37645be61d73953035360e768d81e6,tokens,0,1,1,Infinity Ventures,1,1,0,0,0,0,1000000000.0,0,0,0.4,2017-10-22,0.0,1,1.0,0,0.0,0,1,0,0,Trading & Exchanges,0,0,0,1,0
Utility-token,unknown,0,0,0,92.00035095214844,0,ERC-20,1,1,0,0,0.0,2017-06-07,0.11678183823823929,1,14.597729682922363,0,1,1,4,ETH,1,2017-06-04,No,1,1,0,0,0,0,0,0,32.0,ETH,0,0,0,Cofound.it,Finance,1,0,1,1,0,0,high,British Virgin Islands,0.08408889919519424,0,joint-stock corporation,1,1,1,0,0,17.0,0,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,ETH,0,1,1,No,1,0,1,0,0,1,500000000.0,0,0,0.75,2017-07-05,1167766.75,1,1.0,0,0.0,0,1,0,0,Finance,0,1,1,1,0
Utility-token,Oranienburger Str. 4 10178 Berlin,2,0,0,19.542619705200195,0,ERC-20,1,0,1,0,1.0,2018-02-09,0.6946191787719727,0,15.137519836425781,0,1,1,32,tokens,1,2018-01-09,No,0,0,0,0,0,0,0,0,32.0,tokens,0,0,0,COPYTRACK,Privacy & Security,1,1,0,0,1,1,high,Germany,-0.5131418108940125,1,joint-stock corporation,1,1,1,0,0,29.0,0,0xf44745fbd41f6a1ba151df190db0564c5fcc4410,tokens,0,1,1,Catagonia Limited,1,1,0,0,0,0,53000748.0,0,0,0.4,2018-02-09,4000000.918773389,1,1.0,0,0.0,0,1,0,0,Privacy & Security,0,1,1,1,0
Utility-token,unknown,0,0,0,35.0,0,ERC-20,1,1,1,0,1.0,2017-12-31,1.372430682182312,1,19.86416244506836,0,1,1,38,ETH,1,2017-11-24,No,0,1,0,0,0,0,0,0,53.0,ETH,0,0,0,Covesting,Finance,1,1,0,0,0,0,unknown,Gibraltar,0.5395064353942871,1,joint-stock corporation,1,0,1,0,1,41.0,0,0xe2fb6529ef566a080e6d23de0bd351311087d567,ETH,0,1,1,No,1,0,0,0,0,1,20000000.0,0,1,0.18,2018-01-15,2364024.5,1,1.0,0,0.0,0,1,0,0,Finance,0,0,1,1,1
Security,"Crowdwiz Ltd.,  Harju maakond, Tallinn, Lasnamäe linnaosa, Narva mnt 174c/1-8, 13914 ",1,0,0,13.043478012084961,0,ERC-20,1,1,1,1,0.0,2018-01-31,0.9347826242446899,0,7.234386920928955,0,0,1,73,USD,1,2017-11-20,No,1,0,0,0,1,0,0,0,73.0,USD,0,0,0,CrowdWiz,Finance,0,1,0,0,0,1,neutral,Estonia,0.22024200856685638,1,joint-stock corporation,1,0,1,0,1,48.0,0,unknown,USD,0,1,1,No,1,0,1,0,0,0,11169313.5958091,0,1,0.35,2018-01-31,5000000.0,1,1.0,0,0.0,0,1,1,0,Finance,0,1,1,1,0
Utility-token,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 5, 10114",5,0,0,24.812030792236328,0,ERC-20,1,0,0,0,1.0,2018-01-05,0.2634385824203491,0,55.322105407714844,0,1,1,67,USD,1,2017-10-31,No,1,0,0,0,0,0,0,0,74.0,USD,0,0,0,Crypterium,Payments,1,1,0,0,0,1,high,Estonia,0.9912353754043579,0,joint-stock corporation,1,1,1,0,0,35.0,0,0x80a7e048f37a50500351c204cb407766fa3bae7f,USD,0,1,0,No,1,0,1,0,0,0,300000000.0,0,1,0.3,2018-01-12,3000000.0,1,1.0,0,0.0,0,1,0,0,Payments,1,1,1,1,0
Security,unknown,0,0,0,9.090909004211426,0,ERC-20,1,1,1,1,0.0,2017-11-30,1.0,0,34.75,0,1,1,46,tokens,1,2017-10-16,No,1,1,0,0,0,0,0,0,46.0,tokens,0,0,0,CRYPTO20,Finance,0,1,0,0,0,0,high,Cayman Islands,0.5807307958602905,1,joint-stock corporation,0,1,1,0,1,16.0,0,0x26e75307fc0c021472feb8f727839531f112f317,tokens,0,1,1,No,1,0,1,0,0,1,86206896.0,0,1,0.13,2017-11-30,2100000.0,1,1.0,0,0.0,0,1,0,0,Finance,1,1,1,1,0
Security,"CPAY Foundation Limited, c/o ARKA Corporate Services (Cayman) Limited, 67 Fort Street, 1st Floor, Artemis House, George Town, Grand Cayman KY1-1102",5,0,0,23.076923370361328,0,ERC-20,1,0,1,1,1.0,2017-10-30,0.25869011878967285,0,17.542049407958984,1,0,1,36,tokens,1,2017-09-25,Seedcoin,0,1,0,0,0,0,0,1,36.0,tokens,0,0,0,Cryptopay,Payments,0,0,0,0,1,1,neutral,Cayman Islands,0.44564229249954224,1,foundation,1,0,1,0,1,28.0,0,0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e,tokens,0,0,0,No,0,0,1,0,0,1,90414745.0,0,1,0.25,2017-10-30,0.0,1,1.0,1,0.0,0,1,0,0,Payments,1,0,1,1,0
Utility-token,unknown,0,0,0,13.043478012084961,0,Waves,1,0,0,0,0.0,2017-06-25,0.25894099473953247,0,2.5894100666046143,0,0,0,33,BTC,1,2017-05-24,No,0,1,0,0,0,0,0,0,33.0,BTC,0,0,0,CryptoPing,Trading & Exchanges,1,0,0,0,0,0,unknown,Gibraltar,0.05794132128357887,0,joint-stock corporation,0,0,0,0,1,10.0,0,not applicable,BTC,0,1,0,No,0,0,1,0,0,1,10000000.0,1,1,0.0,2017-06-25,0.0,1,1.0,0,0.0,0,1,1,0,Trading & Exchanges,0,0,1,1,1
Utility-token,"7 Marylebone Lane, London, W1U 1DF",5,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2018-02-28,0.5,1,29.0,1,1,1,31,USD,1,2018-01-29,No,0,0,0,0,0,0,0,0,1.0,USD,0,0,0,DADI,Cloud Computing,1,1,0,0,0,1,neutral,United Kingdom,-0.08288022875785828,0,joint-stock corporation,1,0,1,0,1,33.0,0,0xfb2f26f266fb2805a387230f2aa0a331b4d96fba,USD,0,1,1,No,1,0,1,0,0,1,100000000.0,0,1,0.4,2018-01-29,1000000.0,1,1.0,0,0.0,0,1,0,1,Cloud Computing,1,1,1,1,0
Utility-token,"DC Labs Pte. Ltd., 79 AYER RAJAH CRESCENT #05-08 SINGAPORE 139955",1,0,0,30.0,0,ERC-20,1,1,0,0,1.0,2017-07-21,0.1325392872095108,0,12.305741310119629,0,1,1,23,ETH,1,2017-06-29,No,0,0,0,0,0,0,0,0,23.0,ETH,0,0,0,DAO.Casino,Gambling & Betting,1,1,0,0,0,1,high,Singapore,0.049342840909957886,1,joint-stock corporation,0,1,1,0,1,16.0,0,0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2,ETH,0,1,1,No,0,0,0,0,0,0,167270820.687908,0,1,0.3,2017-07-21,0.0,1,1.0,0,0.0,0,1,0,1,Gambling & Betting,0,0,1,1,0
Utility-token,"Datum Network GmbH,  Gotthardstrasse 26, 6300 Zug",1,0,0,13.043478012084961,0,ERC-20,1,1,1,0,0.0,2017-11-29,0.010547235608100891,1,6.752636909484863,0,1,1,32,ETH,1,2017-10-29,No,1,0,0,0,0,0,0,0,32.0,ETH,1,1,0,Datum,Commerce & Advertising,1,1,0,0,0,1,neutral,Switzerland,0.4743056893348694,1,limited liability partnership,1,0,1,0,1,37.0,0,0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c,ETH,0,0,1,No,1,0,1,0,1,1,2653841597.0,0,1,0.49,2017-11-29,2137600.0,1,1.0,0,0.0,0,1,0,0,Commerce & Advertising,1,1,0,1,0
Security,unknown,0,0,0,38.46154022216797,0,ERC-20,1,1,0,1,1.0,2017-06-29,0.6115846037864685,0,5.120791912078857,0,1,1,29,EUR,1,2017-06-01,No,1,0,0,0,1,0,1,0,29.0,EUR,0,0,0,DCORP,Finance,0,0,0,0,0,0,neutral,Netherlands,0.05314963683485985,0,limited liability partnership,1,0,1,0,0,26.0,0,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,EUR,0,0,1,No,1,0,1,0,1,1,8094002.47,0,0,0.183875,2017-06-29,826807.9999999999,1,1.0,0,0.0,0,1,0,0,Finance,0,1,1,0,0
Utility-token,unknown,0,0,1,25.287355422973633,1,ERC-223,1,1,0,0,1.0,2018-02-26,0.13018645346164703,1,20.863679885864258,0,0,1,82,ETH,1,2017-12-07,No,1,1,0,0,0,0,0,0,82.0,ETH,0,1,0,Debitum Network (DBT),Finance,1,0,0,1,0,0,unknown,Gibraltar,-0.5461851954460144,1,joint-stock corporation,1,0,1,1,0,88.0,0,0x151202c9c18e495656f372281f493eb7698961d5,ETH,0,1,1,No,1,0,1,0,0,1,400000000.0,0,0,0.59935,2018-02-26,0.0,1,1.0,0,0.0,0,1,1,1,Finance,1,0,0,1,1
Utility-token,unknown,2,0,0,39.84962463378906,0,ERC-20,1,1,1,0,1.0,2017-08-17,0.024116799235343933,1,25.987659454345703,1,0,1,1,ETH,1,2017-08-17,Kenetic Capital,0,1,0,0,0,0,1,0,10.0,ETH,0,0,0,Decentraland,Video Games & VR,1,0,0,0,1,0,medium,Cayman Islands,0.0,1,joint-stock corporation,0,0,1,0,1,15.0,0,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,ETH,0,1,1,No,0,0,1,0,0,1,2644403342.1583,0,1,0.6,2017-08-26,0.0,1,1.0,1,0.0,0,1,0,1,Video Games & VR,0,0,1,0,0
Utility-token,unknown,0,0,0,0.0,0,ERC-20,1,0,1,0,1.0,2018-01-19,0.17716965079307556,1,10.44792366027832,0,0,1,37,USD,1,2017-12-14,No,0,1,0,0,0,0,0,0,50.0,USD,0,0,0,Devery,Privacy & Security,1,1,0,0,0,0,high,Cayman Islands,-0.3555888533592224,1,unknown,0,1,1,0,0,11.0,0,0x923108a439c4e8c2315c4f6521e5ce95b44e9b4c,USD,0,0,1,No,0,0,1,0,0,1,100000000.0,0,0,0.4,2018-02-01,0.0,1,1.0,0,0.0,0,0,0,0,Privacy & Security,1,0,1,1,0
Security,"DigixGlobal Pte Ltd, 10 Anson Road #05-17, International Plaza, Singapore 079903",0,0,0,0.0,0,ERC-20,1,1,0,1,1.0,2016-03-30,3.2352941036224365,0,5.5,0,0,0,1,USD,1,2016-03-30,No,0,0,0,0,1,0,1,0,1.0,USD,0,0,0,DigixDAO,Finance,0,0,1,0,0,1,unknown,Singapore,0.0,0,joint-stock corporation,1,0,1,0,1,22.0,0,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,USD,0,1,0,No,0,0,1,0,0,1,2000000.0,1,1,0.15,2016-03-30,500000.0,1,1.0,0,0.0,0,1,1,1,Finance,0,1,1,0,1
Utility-token,unknown,0,0,0,0.0,0,ERC-20,1,1,1,0,1.0,2017-08-01,0.016315901651978493,1,9.789541244506836,1,0,1,15,USD,1,2017-07-18,BoostVC; Fintech Blockchain Group; CoinFund,0,0,1,0,1,0,0,0,15.0,USD,0,0,0,district0x,Marketplaces,1,0,1,0,1,0,medium,United States,0.15890765190124512,1,joint-stock corporation,0,0,1,0,1,23.0,0,0x0abdace70d3790235af448c88547603b945604ea,USD,0,1,1,No,0,0,1,0,0,1,1000000000.0,0,1,0.4,2017-08-01,2000000.0,1,1.0,1,0.0,0,1,0,1,Marketplaces,0,1,1,1,0
Cryptocurrency,unknown,0,0,0,23.076923370361328,0,ERC-20,1,1,0,0,1.0,2017-11-25,0.8249568939208984,1,3.2999753952026367,0,1,1,30,ETH,1,2017-10-27,No,0,0,0,0,1,0,1,0,30.0,ETH,0,0,1,Divi,Payments,0,1,0,0,0,0,high,unknown,0.41915997862815857,0,unknown,1,1,1,1,0,21.0,0,0x13f11c9905a08ca76e3e853be63d4f0944326c72,ETH,1,0,0,No,1,0,1,0,0,0,6206858.0,0,0,0.2,2017-11-25,2331400.0,1,1.0,0,0.0,0,0,0,0,Payments,0,1,1,0,0
New Blockchain,unknown,9,0,0,0.0,0,ERC-20,1,1,1,0,1.0,2017-11-28,0.6305333375930786,1,19.02667808532715,1,1,0,30,tokens,1,2017-10-30,Pantera Capital,0,1,0,0,0,0,0,0,30.0,tokens,0,1,1,DMarket,Video Games & VR,0,1,0,0,1,0,high,Gibraltar,0.4951666593551636,1,joint-stock corporation,0,1,1,0,1,29.0,0,0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1,tokens,0,1,1,No,0,0,0,1,0,1,56921773.1719715,0,1,0.1409527097431004,2017-11-28,10970000.0,1,1.0,1,0.0,0,1,0,0,Video Games & VR,1,0,0,1,0
Utility-token,"540 Bryant St Suite 200, Palo Alto, CA 94301",1,0,0,10.0,1,ERC-20,1,1,1,0,0.0,2017-10-12,0.09344758093357086,1,10.0,0,1,1,36,tokens,1,2017-09-07,Pantera Capital,1,0,0,0,0,0,0,0,36.0,tokens,0,1,0,doc.ai,Drugs & Healthcare,1,1,0,0,1,1,unknown,United States,0.16901825368404388,1,joint-stock corporation,0,0,1,0,0,17.0,0,unknown,tokens,0,1,1,S2 Capital; F50; Comet Labs; Legend Star,1,1,1,0,0,1,860000000.0,0,0,0.63,2017-10-12,0.0,1,1.0,1,0.0,0,1,0,0,Drugs & Healthcare,1,0,0,1,1
Utility-token,unknown,0,0,0,0.0,1,ERC-20,1,1,0,0,0.0,2018-02-21,0.08399999886751175,1,20.0,0,1,1,1,USD,1,2018-02-21,No,0,0,0,0,1,0,0,0,1.0,USD,0,0,0,Dock.io (DOCK),Marketplaces,1,1,0,0,1,0,high,United States,0.0,1,joint-stock corporation,1,1,1,1,1,25.0,0,0xe5dada80aa6477e85d09747f2842f7993d0df71c,USD,0,1,1,Liquid2; Passport Capital,1,1,1,0,0,1,1000000000.0,0,1,0.7,2018-02-21,0.0,1,1.0,0,0.0,0,1,0,0,Marketplaces,1,0,1,1,0
New Blockchain,"22 Allée Alan Turing, 63000 Clermont-Ferrand",5,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2017-10-09,0.1173200011253357,1,30.9879207611084,0,1,1,30,EUR,1,2017-09-10,No,1,0,0,0,0,0,0,0,32.0,EUR,0,1,1,DomRaider,Payments,0,1,0,1,0,1,neutral,France,0.1462031900882721,0,joint-stock corporation,1,0,1,0,0,127.0,0,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab,EUR,0,1,1,No,1,0,1,1,0,0,1300000000.0,0,0,0.65,2017-10-11,41062000.0,1,1.0,0,0.0,0,1,0,0,Payments,1,1,0,1,0
Utility-token,"1st Floor College Green, College Green House 32-36, BS1 5SP, Bristol",1,0,0,9.09375,0,ERC-20,1,1,0,0,1.0,2017-10-17,0.09740500152111053,1,0.9372047781944275,0,1,1,15,ETH,1,2017-10-03,No,1,0,0,0,0,0,0,0,15.0,ETH,0,1,0,Dovu,Marketplaces,1,1,0,1,0,1,high,United Kingdom,0.2610781490802765,0,joint-stock corporation,0,1,1,1,1,23.0,0,0xac3211a5025414af2866ff09c23fc18bc97e79b1,ETH,0,1,1,No,0,0,1,0,0,0,1200000000.0,0,1,0.75,2017-10-17,0.0,1,1.0,0,0.0,0,1,0,1,Marketplaces,1,0,0,1,0
Utility-token,"oken Holdings Limited, 3rd Floor 207 Regent Street, London, W1B 3HH",1,0,0,0.0,0,ERC-20,1,1,0,0,0.0,2017-12-06,0.009999999776482582,1,15.0,0,1,1,31,USD,1,2017-11-06,No,0,0,0,0,0,0,0,0,31.0,USD,0,1,0,Dynamic Trading Rights,Trading & Exchanges,1,1,0,0,0,1,low,United Kingdom,0.7105086445808411,0,joint-stock corporation,1,0,1,0,0,19.0,0,0xd234bf2410a0009df9c3c63b610c09738f18ccd7,USD,0,1,1,No,1,0,1,0,0,1,3750000000.0,0,1,0.6,2017-12-06,0.0,1,1.0,0,0.0,0,1,0,0,Trading & Exchanges,0,0,0,1,1
Utility-token,"EBC FOUNDATION PTE. LTD., 6 BATTERY ROAD #10-01 SINGAPORE 049909",0,0,0,17.18426513671875,0,ERC-20,1,1,0,0,1.0,2018-02-13,0.036821234971284866,1,8.535392761230469,0,1,1,29,tokens,1,2018-01-16,No,1,0,0,0,0,0,0,0,29.0,tokens,0,0,0,EBCoin,Travel & Tourisim,1,1,0,1,0,1,neutral,Singapore,-0.28995493054389954,0,joint-stock corporation,1,0,1,0,0,34.0,0,0xec2e5c8d51fdd54fef83db8300399a3c2e167922,tokens,0,1,1,No,1,0,0,0,0,1,1500000000.0,0,0,0.5,2018-02-13,3634618.0,1,1.0,0,0.0,0,1,0,0,Travel & Tourisim,1,0,1,1,0
Security,unknown,0,0,0,93.33333587646484,0,NEM,1,0,0,1,0.0,2017-06-15,0.5914992094039917,0,0.0,0,0,1,38,BTC,1,2017-05-09,No,0,0,0,0,0,0,0,0,38.0,BTC,0,1,0,Ecobit,Agriculture,0,0,0,0,0,0,high,unknown,0.3393474519252777,0,unknown,0,1,0,0,0,16.0,0,not applicable,BTC,0,0,0,No,0,0,1,0,0,1,8888888888.0,1,0,0.95,2017-06-15,4929160.0,1,1.0,0,0.0,0,0,1,0,Agriculture,0,1,0,1,0
Utility-token," ELECTRIFY ASIA PRIVATE LIMITED, 3 TEMASEK AVENUE #18-01 CENTENNIAL TOWER SINGAPORE 039190",1,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2018-03-02,0.07292340695858002,0,27.346277236938477,0,1,1,8,USD,1,2018-02-23,No,1,0,0,0,0,0,0,0,4.0,USD,0,1,0,Electrify.Asia (ELEC),Marketplaces,1,1,0,0,1,1,neutral,Singapore,0.07346844673156738,1,joint-stock corporation,1,0,1,1,0,18.0,0,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,USD,0,1,1,Global Brain,1,1,1,0,0,1,750000000.0,0,0,0.5,2018-02-26,0.0,1,1.0,0,0.0,0,1,0,0,Marketplaces,1,0,0,1,0
Utility-token,unknown,0,0,0,16.665361404418945,0,"Waves,ERC-20",1,0,0,0,1.0,2017-05-11,0.07964161038398743,0,4.520584583282471,0,1,0,18,USD,1,2017-04-24,No,0,0,0,0,1,0,0,0,38.0,USD,0,0,0,EncryptoTel [WAVES],Communications,1,1,0,0,0,0,unknown,unknown,0.3911488354206085,0,unknown,1,0,1,0,1,15.0,0,0xe0c72452740414d861606a44ccd5ea7f96488278,USD,0,0,1,No,0,0,0,0,0,0,77663987.0,0,1,0.0,2017-05-31,100000.0,1,1.0,0,0.0,0,0,0,0,Communications,0,1,1,1,1
Utility-token,unknown,1,0,0,0.0,0,ERC-20,1,1,0,0,0.0,2017-09-12,0.6000000238418579,1,45.0,0,0,0,2,USD,1,2017-09-11,Digital Currency Group; Pantera Capital; Fenbushi,0,0,0,0,0,0,0,0,5.0,USD,0,0,0,Enigma,Marketplaces,1,1,0,0,1,0,high,United States,-0.007346802391111851,0,joint-stock corporation,0,1,1,0,1,14.0,0,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,USD,0,1,0,Flybridge,1,1,1,0,0,1,150000000.0,0,1,0.5,2017-09-15,0.0,1,1.0,1,0.0,0,1,0,1,Marketplaces,0,0,1,1,0
Cryptocurrency,"Eniin Pte. Ltd., 16 RAFFLES QUAY #33-03 HONG LEONG BUILDING SINGAPORE 048581",8,0,0,50.0,0,ERC-20,1,1,1,0,1.0,2017-10-31,0.06876255571842194,1,34.8348388671875,0,1,1,29,tokens,1,2017-10-03,No,0,0,0,0,0,0,0,0,29.0,tokens,0,1,1,Enjin Coin,Video Games & VR,0,1,0,0,0,1,high,Singapore,0.4042568802833557,1,limited liability partnership,0,1,1,0,0,34.0,0,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,tokens,1,0,1,No,0,0,1,0,1,1,1250000000.0,0,0,0.2,2017-10-31,0.0,1,1.0,0,0.0,1,1,0,1,Video Games & VR,0,0,0,1,0
Security,"envion AG, Zugerstrasse 72, 6340 Baar",2,0,0,30.0,1,ERC-20,1,1,0,1,0.0,2018-01-14,0.9456249475479126,0,100.01228332519531,0,1,0,31,tokens,1,2017-12-15,No,0,0,0,0,1,0,0,0,31.0,tokens,1,0,0,Envion,Cryptocurrency Mining,0,0,0,0,1,1,neutral,Switzerland,-0.2513168454170227,1,joint-stock corporation,1,0,1,0,0,61.0,0,0xd780ae2bf04cd96e577d3d014762f831d97129d0,tokens,0,1,1,Quadrat Capital; Catagonia Limited,1,1,1,0,0,1,127425493.562228,0,1,0.17,2018-01-14,0.0,1,1.0,0,0.0,1,1,0,0,Cryptocurrency Mining,1,0,1,1,0
